"date","number","category","rank","songId"
"2026-09-06","34","national","1","nohepodidoolvidarte-8a65d99de0"
"2026-09-06","34","national","2","elchiquitico-b9b4ac9465"
"2026-09-06","34","national","3","cogelosuave-2141857326"
"2026-09-06","34","national","4","namore-a9143f5cf2"
"2026-09-06","34","national","5","eldoctorado-76d58b8d11"
"2026-09-06","34","national","6","vuelvoaseryo-7603b2a16b"
"2026-09-06","34","national","7","sinofueraporti-650a0054d2"
"2026-09-06","34","national","8","mikaela-d705860dec"
"2026-09-06","34","national","9","tutienesalgo-f736eae719"
"2026-09-06","34","national","10","farandula-cf2bfc3eb2"
"2026-09-06","34","international","1","savemetonight-57c69ff712"
"2026-09-06","34","international","2","antesqueeltiemposevaya-581f5f1a29"
"2026-09-06","34","international","3","unanamas-dacddd8a79"
"2026-09-06","34","international","4","bringyourlove-3e36d7d001"
"2026-09-06","34","international","5","patitoa3-d542f2e175"
"2026-09-06","34","international","6","efectossecundarios-be86986c97"
"2026-09-06","34","international","7","asi-e5c7638841"
"2026-09-06","34","international","8","tehacenfaltados-39cb9c7329"
"2026-09-06","34","international","9","dlejitos-f223412b49"
"2026-09-06","34","international","10","chevere-127f7d0fe4"
